commodity,variety,market,district,date,min_price,max_price,modal_price,arrival_qty
Onion,Standard,Lasalgaon,Nashik,2026-06-24,1636,1918,1815,150
Onion,Standard,Lasalgaon,Nashik,2026-06-25,1718,1998,1827,89
Onion,Standard,Lasalgaon,Nashik,2026-06-26,1619,1890,1795,277
Onion,Standard,Lasalgaon,Nashik,2026-06-27,1600,1893,1754,295
Onion,Standard,Lasalgaon,Nashik,2026-06-28,1662,1934,1777,53
Onion,Standard,Lasalgaon,Nashik,2026-06-29,1735,1953,1842,120
Onion,Standard,Lasalgaon,Nashik,2026-06-30,1712,1945,1860,94
Onion,Standard,Lasalgaon,Nashik,2026-07-01,1732,2014,1850,378
Onion,Standard,Lasalgaon,Nashik,2026-07-02,1742,1932,1818,298
Onion,Standard,Lasalgaon,Nashik,2026-07-03,1736,2022,1852,310
Onion,Standard,Lasalgaon,Nashik,2026-07-04,1661,1939,1840,180
Onion,Standard,Lasalgaon,Nashik,2026-07-05,1621,1856,1774,175
Onion,Standard,Lasalgaon,Nashik,2026-07-06,1693,1950,1836,144
Onion,Standard,Lasalgaon,Nashik,2026-07-07,1719,1940,1798,324
Onion,Standard,Lasalgaon,Nashik,2026-07-08,1688,1878,1789,221
Onion,Standard,Lasalgaon,Nashik,2026-07-09,1765,2019,1881,358
Onion,Standard,Lasalgaon,Nashik,2026-07-10,1766,1966,1866,64
Onion,Standard,Lasalgaon,Nashik,2026-07-11,1658,1905,1810,474
Onion,Standard,Lasalgaon,Nashik,2026-07-12,1722,2023,1874,228
Onion,Standard,Lasalgaon,Nashik,2026-07-13,1744,1985,1880,161
Onion,Standard,Lasalgaon,Nashik,2026-07-14,1688,1981,1843,454
Onion,Standard,Lasalgaon,Nashik,2026-07-15,1668,2009,1827,279
Onion,Standard,Lasalgaon,Nashik,2026-07-16,1620,1878,1794,332
Onion,Standard,Lasalgaon,Nashik,2026-07-17,1734,1956,1874,222
Onion,Standard,Lasalgaon,Nashik,2026-07-18,1768,2085,1898,437
Onion,Standard,Lasalgaon,Nashik,2026-07-19,1689,1936,1791,292
Onion,Standard,Lasalgaon,Nashik,2026-07-20,1709,1906,1821,246
Onion,Standard,Lasalgaon,Nashik,2026-07-21,1764,2014,1843,169
Onion,Standard,Lasalgaon,Nashik,2026-07-22,1685,2025,1850,442
Onion,Standard,Lasalgaon,Nashik,2026-07-23,1717,1970,1830,119
Onion,Standard,Lasalgaon,Nashik,2026-07-24,1756,2046,1883,289
Onion,Standard,Lasalgaon,Nashik,2026-07-25,1655,1874,1800,468
